,,cdd ALA,cdd CAN,cdd CEA,cdd CWP,cdd NEA,cdd NEF,cdd NPL,cdd NWP,cdd SEA,cdd SPL,cdd SWP,cdd USA,cdd USC
1961,1,-0.1,1.65,-1,0.63,1.43,1.78,0.48,1.36,-0.73,-0.69,0.88,0.23,0.86
1961,2,-0.14,1.72,-0.58,0.36,1.65,2.09,0.48,1.16,-0.28,-0.54,0.77,0.28,0.95
1961,3,-0.17,1.8,-0.16,0.09,1.86,2.41,0.48,0.97,0.17,-0.39,0.66,0.34,1.03
1961,4,-0.2,1.87,0.26,-0.18,2.08,2.72,0.48,0.77,0.62,-0.24,0.55,0.39,1.12
1962,1,-0.33,1.69,0.45,-0.35,2.21,2.76,0.35,0.47,0.81,-0.12,0.5,0.4,1.06
1962,2,-0.68,0.97,0.19,-0.33,2.15,2.22,-0.02,-0.05,0.49,-0.06,0.59,0.29,0.74
1962,3,-1.03,0.26,-0.08,-0.31,2.1,1.69,-0.4,-0.56,0.17,0,0.67,0.19,0.41
1962,4,-1.37,-0.45,-0.34,-0.28,2.04,1.16,-0.77,-1.08,-0.15,0.06,0.76,0.09,0.09
1963,1,-1.55,-0.88,-0.17,-0.3,1.75,0.75,-0.87,-1.39,-0.03,0.18,0.75,0.09,-0.06
1963,2,-1.38,-0.73,0.89,-0.4,1,0.59,-0.42,-1.28,0.95,0.42,0.55,0.28,0.13
1963,3,-1.2,-0.58,1.94,-0.5,0.24,0.43,0.03,-1.18,1.93,0.65,0.35,0.47,0.33
1963,4,-1.03,-0.43,3,-0.59,-0.51,0.27,0.49,-1.07,2.91,0.89,0.15,0.66,0.52
1964,1,-0.97,-0.43,3.56,-0.68,-0.87,0.14,0.72,-1.16,3.39,1.06,0.07,0.78,0.63
1964,2,-1.12,-0.71,3.14,-0.74,-0.44,0.05,0.51,-1.63,2.84,1.1,0.23,0.77,0.54
1964,3,-1.27,-1,2.73,-0.8,0,-0.03,0.3,-2.09,2.29,1.14,0.39,0.75,0.46
1964,4,-1.41,-1.29,2.31,-0.85,0.43,-0.11,0.1,-2.56,1.74,1.18,0.55,0.74,0.37
1965,1,-1.51,-1.26,1.85,-0.89,0.53,-0.17,0.1,-2.61,1.36,1.1,0.5,0.57,0.24
1965,2,-1.48,-0.59,1.31,-0.87,-0.05,-0.2,0.53,-1.82,1.33,0.81,0.06,0.09,0
1965,3,-1.46,0.08,0.77,-0.86,-0.62,-0.23,0.95,-1.02,1.3,0.51,-0.39,-0.39,-0.24
1965,4,-1.44,0.75,0.22,-0.84,-1.2,-0.25,1.38,-0.23,1.27,0.21,-0.84,-0.88,-0.48
1966,1,-1.39,0.93,-0.13,-0.73,-1.54,-0.35,1.44,0.13,1.08,-0.02,-0.99,-1.1,-0.63
1966,2,-1.29,0.15,-0.1,-0.42,-1.42,-0.59,0.77,-0.37,0.58,-0.14,-0.52,-0.79,-0.62
1966,3,-1.19,-0.63,-0.06,-0.11,-1.3,-0.83,0.09,-0.87,0.07,-0.26,-0.05,-0.48,-0.6
1966,4,-1.09,-1.42,-0.03,0.2,-1.18,-1.07,-0.59,-1.37,-0.44,-0.37,0.41,-0.17,-0.59
1967,1,-1.01,-1.77,0,0.53,-1.07,-1.11,-0.92,-1.53,-0.66,-0.2,0.66,0.13,-0.45
1967,2,-0.94,-1.26,0,0.93,-1.01,-0.76,-0.56,-1.02,-0.29,0.54,0.47,0.42,-0.04
1967,3,-0.88,-0.75,0,1.33,-0.94,-0.41,-0.2,-0.51,0.07,1.29,0.28,0.7,0.37
1967,4,-0.82,-0.24,-0.01,1.73,-0.87,-0.06,0.15,0,0.44,2.04,0.09,0.98,0.77
1968,1,-0.72,0.08,0.1,1.76,-0.79,0.15,0.39,0.24,0.66,2.12,-0.09,0.97,0.87
1968,2,-0.54,0.03,0.41,1.06,-0.69,0.1,0.38,-0.04,0.61,0.87,-0.27,0.37,0.34
1968,3,-0.37,-0.01,0.72,0.35,-0.58,0.05,0.37,-0.32,0.55,-0.37,-0.45,-0.22,-0.19
1968,4,-0.2,-0.05,1.04,-0.35,-0.47,0.01,0.36,-0.6,0.5,-1.62,-0.62,-0.82,-0.73
1969,1,0.05,0,1.14,-0.58,-0.37,0.08,0.32,-0.61,0.35,-2.25,-0.71,-1.07,-0.93
1969,2,0.45,0.26,0.8,0.11,-0.31,0.41,0.23,-0.08,0.03,-1.66,-0.61,-0.63,-0.47
1969,3,0.85,0.52,0.47,0.8,-0.24,0.74,0.14,0.44,-0.3,-1.07,-0.51,-0.18,-0.01
1969,4,1.25,0.77,0.13,1.5,-0.17,1.07,0.05,0.96,-0.62,-0.48,-0.41,0.26,0.45
1970,1,1.54,0.82,-0.08,1.82,0.01,1.16,-0.15,1.24,-0.7,-0.03,-0.19,0.63,0.79
1970,2,1.6,0.43,-0.04,1.4,0.41,0.77,-0.58,1.01,-0.28,0.11,0.28,0.87,0.9
1970,3,1.66,0.04,-0.01,0.99,0.81,0.37,-1.01,0.78,0.14,0.26,0.75,1.1,1
1970,4,1.72,-0.35,0.03,0.57,1.22,-0.02,-1.43,0.55,0.57,0.4,1.22,1.33,1.11
1971,1,1.64,-0.55,-0.01,0.23,1.29,-0.36,-1.56,0.45,0.66,0.7,1.44,1.43,1.15
1971,2,1.3,-0.39,-0.19,0.02,0.72,-0.61,-1.08,0.6,0.11,1.29,1.17,1.27,1.05
1971,3,0.96,-0.22,-0.36,-0.19,0.15,-0.85,-0.6,0.74,-0.44,1.88,0.9,1.1,0.96
1971,4,0.62,-0.06,-0.54,-0.39,-0.43,-1.09,-0.12,0.89,-1,2.46,0.63,0.93,0.86
1972,1,0.43,-0.04,-0.77,-0.52,-0.91,-1.11,0.1,0.82,-1.37,2.64,0.72,0.9,0.82
1972,2,0.53,-0.32,-1.1,-0.5,-1.2,-0.67,-0.2,0.33,-1.39,1.99,1.54,1.16,0.89
1972,3,0.63,-0.6,-1.43,-0.48,-1.5,-0.23,-0.5,-0.16,-1.41,1.33,2.35,1.41,0.96
1972,4,0.73,-0.88,-1.76,-0.46,-1.79,0.21,-0.8,-0.66,-1.43,0.68,3.17,1.66,1.04
1973,1,0.73,-0.93,-1.85,-0.38,-1.87,0.45,-0.86,-0.89,-1.4,0.04,3.45,1.62,0.95
1973,2,0.53,-0.53,-1.46,-0.19,-1.52,0.29,-0.45,-0.58,-1.26,-0.58,2.66,1,0.56
1973,3,0.34,-0.13,-1.07,0.01,-1.16,0.13,-0.04,-0.27,-1.13,-1.19,1.86,0.38,0.17
1973,4,0.14,0.28,-0.68,0.21,-0.81,-0.03,0.37,0.03,-1,-1.81,1.07,-0.24,-0.22
1974,1,0.09,0.5,-0.52,0.51,-0.56,-0.29,0.68,0.28,-0.86,-1.87,0.68,-0.4,-0.28
1974,2,0.35,0.37,-0.8,1.03,-0.54,-0.76,0.8,0.41,-0.72,-0.81,1.1,0.36,0.32
1974,3,0.61,0.24,-1.08,1.55,-0.52,-1.23,0.92,0.54,-0.58,0.25,1.52,1.12,0.91
1974,4,0.87,0.11,-1.36,2.06,-0.49,-1.69,1.04,0.68,-0.43,1.31,1.93,1.88,1.51
1975,1,0.92,-0.05,-1.5,2.1,-0.38,-1.83,0.96,0.62,-0.45,1.78,1.97,2.06,1.61
1975,2,0.56,-0.28,-1.35,1.17,-0.07,-1.31,0.47,0.2,-0.8,1.05,1.25,1.09,0.73
1975,3,0.19,-0.5,-1.2,0.24,0.23,-0.79,-0.03,-0.23,-1.14,0.33,0.53,0.12,-0.16
1975,4,-0.17,-0.72,-1.06,-0.68,0.53,-0.26,-0.53,-0.66,-1.48,-0.4,-0.18,-0.85,-1.04
1976,1,-0.4,-0.78,-0.84,-1.28,0.72,0.05,-0.66,-0.96,-1.61,-0.75,-0.72,-1.42,-1.53
1976,2,-0.35,-0.49,-0.46,-1.21,0.68,-0.04,-0.09,-1.01,-1.28,-0.34,-0.88,-1.18,-1.23
1976,3,-0.31,-0.2,-0.09,-1.14,0.64,-0.14,0.49,-1.06,-0.96,0.06,-1.04,-0.94,-0.93
1976,4,-0.27,0.09,0.29,-1.08,0.6,-0.24,1.06,-1.11,-0.63,0.46,-1.2,-0.7,-0.64
1977,1,-0.26,0.21,0.49,-0.93,0.37,-0.36,1.36,-1.11,-0.42,0.68,-1.22,-0.52,-0.45
1977,2,-0.34,0,0.35,-0.61,-0.23,-0.54,1.09,-1.02,-0.42,0.51,-0.96,-0.47,-0.47
1977,3,-0.41,-0.22,0.21,-0.3,-0.83,-0.72,0.82,-0.92,-0.42,0.34,-0.71,-0.42,-0.49
1977,4,-0.48,-0.43,0.07,0.02,-1.44,-0.89,0.55,-0.82,-0.43,0.18,-0.45,-0.37,-0.52
1978,1,-0.54,-0.44,0.03,0.21,-1.65,-0.84,0.38,-0.62,-0.27,0.03,-0.22,-0.29,-0.46
1978,2,-0.54,-0.03,0.19,0.16,-1.11,-0.3,0.42,-0.21,0.2,-0.06,-0.05,-0.17,-0.23
1978,3,-0.54,0.38,0.34,0.12,-0.56,0.23,0.45,0.2,0.68,-0.16,0.12,-0.05,0
1978,4,-0.55,0.79,0.5,0.07,-0.01,0.76,0.49,0.61,1.15,-0.25,0.3,0.07,0.23
1979,1,-0.32,1.11,0.45,0,0.33,0.98,0.49,1.09,1.2,-0.29,0.34,0.13,0.4
1979,2,0.36,1.28,0,-0.11,0.26,0.58,0.44,1.7,0.42,-0.22,0.14,0.07,0.46
1979,3,1.04,1.45,-0.44,-0.22,0.18,0.17,0.39,2.31,-0.37,-0.15,-0.07,0.01,0.52
1979,4,1.72,1.61,-0.89,-0.34,0.1,-0.23,0.34,2.91,-1.16,-0.08,-0.28,-0.06,0.58
1980,1,2.02,1.84,-0.92,-0.39,0.04,-0.34,0.61,2.98,-1.54,0.01,-0.41,-0.08,0.68
1980,2,1.56,2.17,-0.11,-0.34,-0.01,0.16,1.54,1.95,-1.12,0.15,-0.39,-0.01,0.83
1980,3,1.09,2.51,0.69,-0.28,-0.05,0.65,2.47,0.93,-0.7,0.29,-0.37,0.05,0.98
1980,4,0.63,2.84,1.5,-0.22,-0.09,1.15,3.4,-0.09,-0.28,0.44,-0.36,0.11,1.13
1981,1,0.22,2.92,1.84,-0.06,-0.19,1.3,3.76,-0.51,0.07,0.55,-0.24,0.23,1.24
1981,2,-0.07,2.49,1.24,0.33,-0.42,0.79,2.95,0.28,0.29,0.6,0.06,0.48,1.27
1981,3,-0.37,2.05,0.64,0.72,-0.65,0.28,2.15,1.08,0.5,0.66,0.36,0.73,1.29
1981,4,-0.66,1.62,0.04,1.11,-0.88,-0.24,1.35,1.87,0.72,0.71,0.67,0.98,1.32
1982,1,-0.9,1.1,-0.39,1.09,-0.92,-0.67,0.62,2.19,0.64,0.52,0.64,0.81,0.98
1982,2,-1.04,0.4,-0.48,0.24,-0.56,-0.92,0.04,1.57,0,-0.18,-0.03,-0.19,-0.09
1982,3,-1.18,-0.29,-0.57,-0.61,-0.2,-1.18,-0.54,0.94,-0.64,-0.87,-0.7,-1.2,-1.15
1982,4,-1.32,-0.99,-0.66,-1.45,0.16,-1.44,-1.13,0.32,-1.29,-1.57,-1.38,-2.2,-2.22
1983,1,-1.24,-1.47,-0.66,-2.03,0.28,-1.55,-1.55,-0.13,-1.64,-1.99,-1.81,-2.8,-2.88
1983,2,-0.74,-1.53,-0.51,-2.07,-0.07,-1.34,-1.64,-0.22,-1.43,-1.88,-1.78,-2.57,-2.7
1983,3,-0.24,-1.59,-0.37,-2.11,-0.42,-1.14,-1.72,-0.31,-1.22,-1.77,-1.75,-2.34,-2.53
1983,4,0.26,-1.64,-0.22,-2.15,-0.77,-0.93,-1.81,-0.4,-1,-1.66,-1.72,-2.11,-2.36
1984,1,0.61,-1.5,-0.18,-2.07,-0.79,-0.5,-1.74,-0.44,-0.75,-1.49,-1.62,-1.85,-2.09
1984,2,0.68,-0.95,-0.35,-1.75,-0.16,0.4,-1.36,-0.39,-0.43,-1.22,-1.38,-1.53,-1.64
1984,3,0.74,-0.4,-0.53,-1.44,0.46,1.3,-0.97,-0.34,-0.11,-0.95,-1.15,-1.2,-1.19
1984,4,0.81,0.15,-0.71,-1.12,1.09,2.19,-0.58,-0.29,0.21,-0.68,-0.91,-0.88,-0.73
1985,1,0.7,0.42,-0.77,-0.82,1.35,2.44,-0.35,-0.13,0.37,-0.65,-0.84,-0.79,-0.57
1985,2,0.25,0.14,-0.61,-0.56,0.85,1.4,-0.43,0.25,0.19,-1.08,-1.1,-1.18,-0.99
1985,3,-0.19,-0.13,-0.44,-0.29,0.36,0.37,-0.5,0.63,0.01,-1.52,-1.35,-1.58,-1.41
1985,4,-0.64,-0.41,-0.28,-0.02,-0.14,-0.67,-0.57,1.01,-0.16,-1.95,-1.61,-1.97,-1.83
1986,1,-0.7,-0.67,-0.2,0.19,-0.46,-1.35,-0.68,1.16,-0.13,-2.04,-1.66,-1.99,-1.93
1986,2,0.02,-0.87,-0.32,0.3,-0.45,-1.28,-0.84,0.85,0.32,-1.43,-1.32,-1.27,-1.37
1986,3,0.75,-1.06,-0.43,0.4,-0.43,-1.22,-1,0.55,0.77,-0.82,-0.98,-0.55,-0.82
1986,4,1.47,-1.26,-0.54,0.51,-0.41,-1.16,-1.16,0.25,1.22,-0.21,-0.63,0.18,-0.26
1987,1,1.99,-1.21,-0.47,0.72,-0.33,-0.86,-1.15,0.04,1.49,0.26,-0.41,0.73,0.22
1987,2,2.09,-0.64,-0.04,1.15,-0.13,-0.08,-0.79,0.03,1.41,0.44,-0.43,0.94,0.56
1987,3,2.2,-0.08,0.4,1.59,0.07,0.71,-0.44,0.02,1.33,0.62,-0.44,1.14,0.89
1987,4,2.31,0.48,0.84,2.02,0.27,1.49,-0.08,0.01,1.25,0.79,-0.46,1.35,1.23
1988,1,2.19,0.75,1.13,2.26,0.62,1.83,0.12,-0.07,1.11,0.87,-0.47,1.41,1.35
1988,2,1.61,0.44,1.12,2.12,1.28,1.25,0.02,-0.32,0.87,0.74,-0.48,1.15,1.04
1988,3,1.03,0.12,1.12,1.99,1.93,0.68,-0.09,-0.56,0.62,0.61,-0.49,0.9,0.72
1988,4,0.45,-0.19,1.12,1.85,2.59,0.1,-0.19,-0.81,0.38,0.48,-0.5,0.65,0.41
1989,1,-0.01,-0.44,0.93,1.53,2.77,-0.3,-0.38,-0.89,0.13,0.33,-0.44,0.4,0.12
1989,2,-0.23,-0.57,0.35,0.84,2.01,-0.35,-0.73,-0.64,-0.12,0.11,-0.21,0.17,-0.11
1989,3,-0.45,-0.7,-0.24,0.14,1.25,-0.4,-1.08,-0.39,-0.37,-0.11,0.01,-0.06,-0.35
1989,4,-0.66,-0.84,-0.82,-0.55,0.5,-0.46,-1.43,-0.14,-0.62,-0.33,0.24,-0.29,-0.59
1990,1,-0.83,-0.87,-1.26,-1,-0.09,-0.6,-1.59,0.11,-0.79,-0.49,0.25,-0.55,-0.82
1990,2,-0.89,-0.73,-1.4,-0.95,-0.34,-0.93,-1.34,0.37,-0.8,-0.53,-0.17,-0.85,-1.02
1990,3,-0.94,-0.59,-1.55,-0.9,-0.58,-1.25,-1.09,0.64,-0.81,-0.57,-0.59,-1.15,-1.23
1990,4,-1,-0.44,-1.7,-0.84,-0.83,-1.58,-0.84,0.9,-0.82,-0.61,-1.01,-1.45,-1.44
1991,1,-0.98,-0.35,-1.63,-0.68,-1.02,-1.71,-0.65,1.05,-0.79,-0.65,-1.19,-1.55,-1.49
1991,2,-0.8,-0.36,-1.15,-0.29,-1.11,-1.48,-0.58,1,-0.7,-0.68,-0.91,-1.23,-1.23
1991,3,-0.63,-0.38,-0.66,0.1,-1.2,-1.24,-0.51,0.94,-0.61,-0.71,-0.63,-0.91,-0.97
1991,4,-0.45,-0.39,-0.17,0.48,-1.29,-1,-0.45,0.88,-0.51,-0.74,-0.36,-0.59,-0.7
1992,1,-0.43,-0.44,0.03,0.64,-1.21,-0.93,-0.32,0.69,-0.49,-0.72,-0.28,-0.48,-0.6
1992,2,-0.7,-0.55,-0.35,0.34,-0.78,-1.18,-0.07,0.23,-0.61,-0.59,-0.62,-0.8,-0.83
1992,3,-0.97,-0.66,-0.73,0.03,-0.35,-1.43,0.17,-0.24,-0.72,-0.45,-0.95,-1.12,-1.06
1992,4,-1.25,-0.77,-1.11,-0.27,0.07,-1.68,0.41,-0.71,-0.84,-0.32,-1.29,-1.44,-1.28
1993,1,-1.34,-0.68,-1.41,-0.48,0.29,-1.65,0.7,-0.94,-0.89,-0.37,-1.4,-1.62,-1.34
1993,2,-1.08,-0.18,-1.56,-0.48,0.09,-1.05,1.06,-0.72,-0.8,-0.8,-1.07,-1.51,-1.04
1993,3,-0.82,0.31,-1.7,-0.49,-0.11,-0.44,1.42,-0.51,-0.72,-1.23,-0.74,-1.41,-0.75
1993,4,-0.56,0.81,-1.85,-0.49,-0.31,0.16,1.79,-0.29,-0.63,-1.66,-0.41,-1.3,-0.46
1994,1,-0.44,0.94,-1.89,-0.37,-0.44,0.37,1.86,-0.21,-0.76,-1.91,-0.18,-1.21,-0.3
1994,2,-0.59,0.36,-1.7,0.03,-0.42,-0.22,1.37,-0.43,-1.29,-1.8,-0.15,-1.14,-0.4
1994,3,-0.74,-0.23,-1.51,0.43,-0.41,-0.81,0.87,-0.65,-1.82,-1.68,-0.12,-1.08,-0.51
1994,4,-0.89,-0.81,-1.32,0.83,-0.39,-1.4,0.37,-0.87,-2.35,-1.57,-0.09,-1.02,-0.62
1995,1,-0.88,-1.04,-0.92,0.89,-0.46,-1.66,0.01,-0.8,-2.5,-1.44,0.05,-0.86,-0.58
1995,2,-0.55,-0.57,-0.07,0.29,-0.71,-1.28,-0.07,-0.14,-1.9,-1.28,0.38,-0.53,-0.25
1995,3,-0.23,-0.09,0.77,-0.32,-0.96,-0.89,-0.16,0.52,-1.31,-1.13,0.72,-0.19,0.09
1995,4,0.1,0.38,1.61,-0.92,-1.21,-0.51,-0.25,1.18,-0.71,-0.97,1.05,0.15,0.42
1996,1,0.3,0.54,1.83,-1.28,-1.38,-0.31,-0.37,1.44,-0.41,-0.65,1.32,0.44,0.65
1996,2,0.24,0.09,0.8,-1.17,-1.39,-0.48,-0.54,0.93,-0.71,-0.01,1.47,0.62,0.68
1996,3,0.18,-0.37,-0.23,-1.06,-1.4,-0.65,-0.72,0.41,-1.01,0.64,1.61,0.8,0.7
1996,4,0.12,-0.82,-1.26,-0.95,-1.41,-0.83,-0.9,-0.11,-1.31,1.29,1.75,0.98,0.73
1997,1,0.24,-1.14,-1.83,-0.95,-1.25,-0.94,-0.98,-0.58,-1.49,1.43,1.61,0.9,0.57
1997,2,0.72,-1.18,-1.48,-1.19,-0.77,-0.92,-0.86,-0.94,-1.46,0.56,0.92,0.27,0.02
1997,3,1.2,-1.22,-1.13,-1.43,-0.29,-0.91,-0.75,-1.3,-1.42,-0.3,0.23,-0.36,-0.53
1997,4,1.69,-1.26,-0.78,-1.67,0.19,-0.9,-0.63,-1.66,-1.38,-1.17,-0.46,-0.98,-1.07
1998,1,1.95,-1.11,-0.49,-1.73,0.32,-0.82,-0.41,-1.66,-1.04,-1.56,-0.95,-1.29,-1.3
1998,2,1.79,-0.56,-0.34,-1.42,-0.23,-0.61,0.02,-0.93,-0.09,-1.02,-1.02,-0.97,-0.87
1998,3,1.62,-0.02,-0.19,-1.11,-0.79,-0.41,0.44,-0.2,0.86,-0.48,-1.1,-0.64,-0.45
1998,4,1.45,0.52,-0.03,-0.8,-1.34,-0.21,0.87,0.53,1.81,0.06,-1.17,-0.31,-0.03
1999,1,1.29,0.84,0.12,-0.48,-1.61,0.21,1.09,0.75,2.36,0.6,-1.08,0.07,0.38
1999,2,1.14,0.69,0.27,-0.1,-1.29,1.04,0.93,-0.04,2.12,1.12,-0.64,0.58,0.75
1999,3,1,0.53,0.42,0.27,-0.98,1.87,0.77,-0.84,1.88,1.65,-0.21,1.09,1.13
1999,4,0.85,0.38,0.57,0.65,-0.66,2.71,0.61,-1.64,1.64,2.18,0.23,1.6,1.5
2000,1,0.78,0.37,0.57,0.89,-0.41,2.91,0.59,-1.97,1.75,2.49,0.59,1.96,1.8
2000,2,0.87,0.61,0.28,0.88,-0.28,1.84,0.86,-1.37,2.56,2.38,0.8,2.03,1.96
2000,3,0.96,0.86,0,0.87,-0.15,0.78,1.12,-0.76,3.37,2.28,1.02,2.09,2.12
2000,4,1.05,1.1,-0.29,0.86,-0.01,-0.29,1.39,-0.15,4.18,2.17,1.23,2.15,2.27
2001,1,1.1,1.13,-0.22,0.71,0.28,-0.95,1.44,0.16,4.68,1.92,1.26,2.05,2.21
2001,2,1.09,0.74,0.56,0.31,0.92,-0.83,1.05,-0.13,4.56,1.4,0.89,1.62,1.72
2001,3,1.08,0.34,1.34,-0.1,1.55,-0.71,0.66,-0.41,4.44,0.87,0.52,1.18,1.23
2001,4,1.06,-0.06,2.12,-0.5,2.18,-0.59,0.27,-0.7,4.33,0.34,0.15,0.75,0.73
2002,1,1.1,-0.2,2.37,-0.65,2.31,-0.49,0.08,-0.71,3.83,0.04,0.25,0.68,0.63
2002,2,1.26,0.18,1.56,-0.27,1.42,-0.46,0.3,-0.18,2.6,0.19,1.28,1.34,1.3
2002,3,1.41,0.55,0.75,0.11,0.54,-0.42,0.52,0.35,1.36,0.33,2.31,1.99,1.97
2002,4,1.56,0.93,-0.06,0.48,-0.35,-0.39,0.74,0.87,0.12,0.48,3.35,2.65,2.64
2003,1,1.55,1.15,-0.62,0.74,-0.61,-0.36,0.82,1.26,-0.78,0.56,3.76,2.89,2.9
