,,SL ALA,SL CAN,SL CEA,SL CWP,SL NEA,SL NEF,SL NPL,SL NWP,SL SEA,SL SPL,SL SWP,SL USA,SL USC
1961,1,1.78,-0.12,-0.83,0.18,-0.26,-0.93,1.23,0.36,-1.09,-1.44,-0.23,-0.3,-0.27
1961,2,1.62,0.06,0.43,0.9,0.45,-0.2,1.24,0.13,-0.78,-1.41,-0.76,0.17,0.14
1961,3,1.56,0.3,-1.68,0.12,-1.59,0.22,1.39,-0.02,-1.42,-1.07,-0.5,-1.04,-0.5
1961,4,0.43,-1.18,-0.61,-1.72,-1.95,-0.75,0.55,-1.12,-0.57,0.09,-1.2,-0.92,-1.21
1962,1,0,-1.03,-0.75,-1.27,-1.65,-1.21,0.85,-0.65,-0.74,-1.31,-0.25,-0.95,-1.04
1962,2,0.32,-0.75,-0.21,-0.4,-0.1,-0.63,0.79,-1.02,-0.72,-1.13,-0.94,-0.61,-0.73
1962,3,0.89,-0.75,-0.92,-1.08,-1.41,-0.88,1.26,-0.46,-0.66,-1.61,-0.85,-0.94,-0.96
1962,4,1.36,-0.53,-0.19,0.02,-1.09,-1.08,0.49,0.43,-1.09,-1.73,-0.36,-0.21,-0.39
1963,1,0.6,-1.31,-1.32,-1.11,-1.56,-2.04,1.12,-0.44,-0.85,-1.81,-0.11,-1.05,-1.21
1963,2,0.76,-0.88,-1.29,0.26,-1.67,-1.16,0.75,0.03,-1.85,-1.87,-0.16,-1.33,-1.27
1963,3,1.2,-0.78,-1.83,-0.22,-1.5,-1.21,0.73,0.3,-2.17,-2.27,0.07,-1.69,-1.44
1963,4,1.91,0.46,-1.17,0.83,-0.86,-0.8,1.4,1.52,-1.08,-1.41,0.28,-0.16,0.06
1964,1,1.15,-0.51,-1.28,-0.77,-1.04,-1.05,1.5,-0.16,-2.08,-2.48,-0.57,-1.33,-1.16
1964,2,0.08,-1.91,-1.53,-1.54,-2.35,-1.65,0.91,-1.82,-1.66,-1.51,-2.02,-2.03,-2.18
1964,3,1.39,-0.96,-1.86,0.04,-1.86,-1.45,0.75,0.35,-1.97,-1.84,-1.62,-1.78,-1.59
1964,4,0.63,-2.05,-1,-0.82,-1.09,-2.71,1.56,-0.5,-0.92,-1.37,-1.06,-1.21,-1.79
1965,1,0.33,-1.08,-0.61,0.16,-1.56,-1.93,0.78,-0.1,-0.77,-0.72,-0.19,-0.48,-0.71
1965,2,0.08,-2.16,-0.99,-0.47,-0.78,-2.28,0.99,-1.29,-1.58,-1.51,0.41,-1.21,-1.74
1965,3,0.55,-1.33,-1.79,0.14,-1.41,-1.76,1.07,-0.14,-1.47,-0.9,0.05,-1.42,-1.54
1965,4,0.49,0.8,-1.44,0.69,-1.01,0.26,1.35,0.74,-0.76,0.1,0.89,-0.52,-0.09
1966,1,0.32,0.59,-0.46,0.44,0.36,-0.18,0.96,0.86,-0.33,0.27,0.5,-0.01,0.18
1966,2,1.06,-0.73,-0.77,-0.37,-0.51,-0.98,1.32,-0.3,-0.5,-0.69,0.24,-0.41,-0.59
1966,3,0.97,-0.68,-1.36,-0.69,-0.43,-0.97,0.8,-0.04,-0.98,-1.1,-0.11,-0.98,-0.95
1966,4,0.85,-0.93,-1.24,-0.41,-1.64,-1.13,0.42,-0.15,-1.53,-1.91,-0.49,-1.36,-1.45
1967,1,1.04,0.63,-0.64,0.14,-1.12,0.4,0.95,0.49,-0.62,-1.14,-0.24,-0.28,-0.01
1967,2,-1.07,-0.32,0.08,0.43,-0.3,-0.6,0.83,0.18,-0.58,-0.48,0.12,-0.39,-0.4
1967,3,0.71,-0.19,-0.48,0.23,-1.41,-0.48,0.82,0.31,-0.06,0.1,0.57,0.18,0.02
1967,4,1.31,0.84,-1.28,-0.2,-0.86,0.53,1.06,0.52,-1.1,-0.58,-0.08,-0.65,-0.17
1968,1,0.27,1.01,-0.33,0.1,-0.08,1.13,1,0.37,0.06,-0.06,-0.01,-0.04,0.3
1968,2,1.08,-0.29,-0.74,-0.63,-1.06,-0.44,1.07,-0.13,-1.68,-1.1,-0.51,-1,-0.79
1968,3,0.95,-0.09,-0.2,0.59,-0.34,-0.67,0.99,0.8,-1.13,-0.14,-0.56,-0.2,-0.17
1968,4,1.8,0.9,-0.59,0.82,-0.07,-0.16,1.21,1.44,-1.47,-0.93,-0.26,-0.11,0.28
1969,1,0.1,1.32,-0.77,1.78,0.44,0.62,0.64,1.37,-0.81,0.03,0.88,-0.09,0.36
1969,2,0.9,0.51,-0.54,0.85,0.52,0.25,1.28,0.36,-1.01,-0.39,0.14,-0.33,0
1969,3,0.77,0.8,0.52,0.09,0.19,0.67,0.97,0.37,-0.2,-0.51,-0.3,0.4,0.65
1969,4,1.09,0.78,0.77,-0.03,-0.23,0.27,1.13,0.68,-0.38,-0.86,0.34,0.76,0.92
1970,1,1.83,0.6,0.46,0.71,0.79,0.03,1.15,0.6,-0.98,-1.36,0.2,0.49,0.56
