,,ALA,CAN,CEA,CWP,NEA,NEF,NPL,NWP,SEA,SPL,SWP,USA,USC
1961,1,0.32,0.72,-0.73,0.55,-0.4,0.1,0.76,0.96,-0.18,0.46,0.11,0.26,0.45
1961,2,-0.2,-0.16,-0.48,0.15,0.28,0.21,-0.36,0.39,-0.27,-0.54,0.08,-0.2,-0.2
1961,3,-0.19,0.7,-0.26,1.06,0.44,0.28,0.64,1.26,-0.46,-0.1,0.75,0.08,0.5
1961,4,-0.09,0.68,0.77,-0.47,1.6,1.66,-0.16,0.06,0.01,-0.43,-0.67,-0.26,0.08
1962,1,-0.25,0.38,0.03,-0.64,0.15,0.35,0.18,0.34,0.97,-0.39,-0.01,0.08,0.25
1962,2,-0.37,-0.06,-0.09,-0.12,0.55,0.49,-0.42,-0.45,0.22,-0.23,-0.26,-0.27,-0.27
1962,3,0.3,0.29,-0.7,-1.03,0.1,0.2,-0.25,-0.09,0.05,0.15,-0.63,-0.25,0.04
1962,4,-0.43,0.11,-0.39,0.65,0.64,0.04,0.21,0.2,-0.11,0.41,0.82,0.31,0.37
1963,1,0.34,0.56,-1.02,0.5,0.71,-0.4,0.42,0.94,-1.09,-0.24,0.59,-0.29,0.09
1963,2,0.31,-0.48,-0.17,0.37,-0.14,-0.04,-0.28,-0.35,0.9,0.47,0.1,0.41,0.05
1963,3,-0.72,0.07,0.06,-0.68,0.22,0.25,0.41,-0.52,0.23,0.7,-0.24,-0.2,-0.11
1963,4,-0.57,0.56,1.15,0.83,0.45,0.4,0.88,0.54,0.97,1.33,0.97,1.12,1
1964,1,0.14,0.16,0.63,-0.73,-0.4,-0.05,0.28,0.14,0.31,-0.12,-0.98,-0.57,-0.23
1964,2,-1.04,-0.51,0.8,-1.36,-0.1,0.35,0.07,-1.13,1.29,0.16,-0.66,-0.29,-0.4
1964,3,-0.48,-0.43,-0.19,-0.66,-0.69,-0.17,-0.07,-0.37,0.66,0.54,-0.26,-0.04,-0.21
1964,4,-0.11,-0.72,-0.04,-0.58,-0.43,-0.67,0,-0.75,0.79,0.19,-0.2,0.06,-0.18
1965,1,-1.22,-0.35,0.56,0.57,0.56,0.21,-0.22,-0.76,0.71,0.49,0.35,0.32,0.18
1965,2,0.28,-0.84,-0.39,-0.88,-0.31,-0.71,-0.73,-1.08,0.3,-0.45,-0.43,-0.53,-0.63
1965,3,-1.12,-0.66,-0.93,-0.34,-1.01,-1.5,0.4,-0.43,0.13,-0.13,-0.59,-0.89,-0.95
1965,4,-0.32,-0.34,-0.43,-0.34,-1.12,-0.37,-0.24,-0.1,0.11,0.06,0.17,-0.23,-0.51
1966,1,-0.78,-0.04,0.13,-0.35,0.04,0.4,0,-0.27,0.53,-0.04,-0.57,-0.31,-0.27
1966,2,-0.94,-0.13,-0.82,-0.24,-0.61,-0.54,-0.11,0.21,-0.19,-0.17,-0.27,-0.86,-0.7
1966,3,-0.65,-0.16,-0.27,-0.59,-0.79,-0.13,-0.09,-0.65,-0.44,-0.07,0.1,-0.51,-0.51
1966,4,-0.37,-0.37,0.02,0.43,0.13,-0.01,-0.44,-0.44,-0.55,-0.44,0.18,-0.41,-0.52
1967,1,-0.93,-0.43,0.07,0.65,-0.4,-0.08,-0.19,-0.27,-0.24,-0.25,0.63,0.09,-0.12
1967,2,-0.02,-1.56,-1.05,-0.46,-1.48,-1.44,-1.25,-1.3,0.2,0.05,-0.1,-0.21,-0.92
1967,3,0.69,-0.96,0.17,0.81,0.5,-0.21,-0.79,0.04,-0.38,-0.41,0.3,-0.04,-0.29
1967,4,0.03,0.3,-0.67,0.84,0.24,-0.06,0.58,0.55,-1.12,0.5,0.28,-0.04,0.18
1968,1,0.36,0.43,-0.48,0.8,-0.17,0,0.4,0.52,-0.12,0.7,-0.08,0.32,0.52
1968,2,-0.06,0.24,0.56,0.03,-0.04,0.44,0.25,0.12,-0.08,0.08,-0.34,0,0.27
1968,3,-0.08,-0.66,-0.01,0.41,-1.27,-0.09,-0.8,-0.41,0.11,-0.47,-0.54,-0.2,-0.43
1968,4,-0.75,0.81,0.57,-0.04,0.81,0.8,0.42,-0.14,-0.26,-0.59,-0.69,-0.68,-0.02
1969,1,-1.05,-0.33,0.21,-0.72,0.88,0.86,-0.47,-1.57,-0.03,-0.36,0.04,-0.3,-0.27
1969,2,0.19,-0.48,0.02,-0.24,-0.75,-0.72,-0.2,0.1,-0.6,-0.86,-0.23,-0.53,-0.59
1969,3,-0.49,-0.15,0.66,0.14,-0.05,0.42,-0.73,-0.13,0.3,-0.19,0.21,-0.02,-0.07
1969,4,0.49,0.68,-0.12,0.07,0.13,0.12,0.49,0.52,-0.68,-0.38,-0.37,-0.23,0.12
1970,1,0.71,0.48,-0.21,1.18,0.58,0.28,-0.19,0.52,-0.54,0.13,0.44,0.34,0.45
1970,2,0.62,-0.27,0.06,-0.34,-0.17,-0.22,-0.52,0.2,0.17,-0.37,-0.43,0.07,-0.04
