,,rx5 ALA,rx5 CAN,rx5 CEA,rx5 CWP,rx5 NEA,rx5 NEF,rx5 NPL,rx5 NWP,rx5 SEA,rx5 SPL,rx5 SWP,rx5 USA,rx5 USC
1961,1,-0.54,0.06,-0.33,-0.51,-0.81,-0.95,0.54,0.52,0.39,1.61,-1.22,-0.48,-0.4
1961,2,0.18,-0.72,0.44,-0.31,0,-0.62,-1.56,0.28,0.8,-1.21,-0.73,0.05,-0.11
1961,3,1.36,-1.41,-0.28,-1.05,-0.46,-1.12,-2.1,0.57,0.36,0.73,-0.2,0.27,-0.52
1961,4,1.48,1.97,-1.42,0.63,0.42,0.88,0.44,1.59,-1.71,0.52,-0.17,0.09,0.67
1962,1,0.59,1.62,-0.16,-0.81,-0.99,-0.03,1.99,1.77,1.7,-1.2,0.85,0.77,1.44
1962,2,0.22,-0.08,-1.04,0.82,-0.2,-0.44,0.04,0.06,-0.45,-0.88,-1.1,-1.1,-0.93
1962,3,1.29,1.23,-0.95,-1.05,0.13,0.3,0.29,1.56,-0.36,1.01,-1.41,-0.23,0.53
1962,4,-0.06,-0.74,0.62,1.44,0.65,-1.26,-0.65,0.36,-0.12,-0.48,0.51,-0.13,-0.31
1963,1,1.06,2.05,-0.93,0.13,0.24,-0.71,1.72,2.67,-1.55,-1.28,0.57,-1.2,-0.21
1963,2,2.9,-0.68,-1.49,1.91,-0.79,-0.55,-0.8,0.08,-0.03,-1.47,-0.41,-0.25,-0.35
1963,3,0.82,0.55,-1.27,-0.37,1.53,0.16,0.38,-0.57,-0.61,-0.55,-0.51,-1.13,-0.98
1963,4,-0.55,-0.86,0.06,0.28,1.39,-1.62,-1.37,1.27,-0.28,-1.19,0.29,-1.2,-1.34
1964,1,0.82,-0.09,-0.01,-1.15,-0.29,-0.86,-1.01,0.58,0.01,-0.52,-1.72,-1.62,-1.53
1964,2,0.67,1.6,-0.64,-1.37,0.51,0.97,1.32,0.83,1.22,-0.41,-0.42,0.41,0.86
1964,3,-0.25,1.2,-1.42,0.98,0.43,0.83,0.23,2.32,0.18,0,-0.57,-0.53,0.17
1964,4,-0.38,-0.93,-1.5,-0.4,-0.93,-1.65,0.41,-0.07,2.2,-0.45,-0.52,-0.29,-0.52
1965,1,-0.49,2.02,0.09,2.61,1.48,1.89,1.07,1.42,0.13,0.79,0.35,1.08,1.93
1965,2,1.6,-1.55,-2.05,-0.88,-0.46,-1.06,-0.56,-1.22,-1.1,-0.15,0.38,-0.66,-1.03
1965,3,0.3,-0.7,-1.78,0.61,-1.5,-2.25,0.76,-0.22,0.45,-0.51,1.49,-0.13,-0.59
1965,4,0.58,0.11,-1.21,-1.27,-0.81,0.72,-0.35,0.01,-1.16,-0.19,0.87,-0.26,-0.18
1966,1,-0.42,0.02,-0.43,-0.27,-0.64,0.25,0.22,0.01,0.63,0.21,0.34,0.55,0.53
1966,2,0.29,0.21,-1.23,-1.47,-1.33,-0.64,-0.26,2.4,0.12,-0.34,-1.98,-1.3,-1.02
1966,3,-0.33,-0.24,-1.75,-0.99,-1.52,-0.6,0.45,-0.15,-0.76,0.08,0.01,-1.14,-1.45
1966,4,-0.45,0.15,0.24,0.05,0.03,0.5,-0.6,0.18,-0.84,-1.66,-0.68,-1.57,-1.4
