,,t90 ALA,t90 CAN,t90 CEA,t90 CWP,t90 NEA,t90 NEF,t90 NPL,t90 NWP,t90 SEA,t90 SPL,t90 SWP,t90 USA,t90 USC
1961,1,0.42,0.04,-0.42,0.79,-1.59,-0.45,0.51,0.61,-0.25,-0.17,-0.28,0.09,0.07
1961,2,-0.5,-0.72,-1,-0.42,-0.65,-0.74,-0.19,0.03,-0.83,-0.41,-0.41,-1.01,-1
1961,3,-1.39,1.23,-0.88,2.74,-0.3,-0.64,2.88,1.84,-1,-0.19,1.21,-0.28,0.6
1961,4,-0.92,-0.12,2.85,-1.03,2.67,1.84,-0.6,-0.88,0.68,-1.1,-1.39,-0.62,-0.38
1962,1,-0.32,-0.72,-0.71,0.05,-0.58,-1.05,-0.27,-0.06,0.75,0.74,0.15,0.18,-0.36
1962,2,-0.65,-0.76,0.46,-0.44,0.03,-0.16,-1.19,-1.08,1.21,-0.12,0.24,0.16,-0.45
1962,3,0.45,-0.61,-1.22,-1.36,-0.81,-0.94,-1.14,-1.05,-0.4,-0.8,-0.85,-0.99,-1
1962,4,-0.46,0.42,-1.05,0.54,-0.81,-0.18,1.27,0.66,0,0.9,0.94,0.4,0.48
1963,1,1.14,0.95,-0.98,2.12,0.97,0.11,0.66,1.85,-0.89,1.08,1.46,1.12,1.13
1963,2,-0.17,-0.45,-0.72,-0.47,-0.77,-0.59,-0.22,-0.19,1.56,1.53,-0.12,0.67,0.02
1963,3,-0.95,-0.46,0.25,-1.27,-0.5,0.32,-0.1,-0.6,-0.06,0.69,-0.7,-0.19,-0.41
1963,4,-0.21,2.68,1.28,2.27,1.02,2.3,3.13,1.33,0.52,3.34,1.57,3.04,3.31
1964,1,-0.04,0.23,-0.71,-1.16,-1,0.16,0.49,0.12,-1.31,-0.75,-1.2,-1.07,-0.37
1964,2,-1.29,-0.93,0.54,-1.44,-0.37,0.47,-0.7,-1.56,0.28,-0.08,-0.83,-0.77,-1.02
1964,3,-0.7,-0.93,-0.2,-1.24,-1.1,-0.32,-0.66,-1.16,0.32,0.87,-0.61,0.1,-0.52
1964,4,0.16,-0.87,-0.4,-0.76,-1.09,-0.46,-0.61,-0.41,-0.18,-0.24,-0.55,-0.23,-0.71
1965,1,-1.27,-0.84,0.54,0.05,-0.05,-0.3,-1,-0.73,1.25,0.14,0.35,0.1,-0.47
1965,2,1.38,-0.21,-0.39,-0.64,-0.7,-0.67,-0.93,0.08,0.97,-0.69,-0.73,0.05,-0.12
1965,3,-1.66,-1.33,-0.39,-0.7,-1.19,-1.31,-0.33,-0.01,-0.91,-1.37,-1.91,-1.76,-1.93
1965,4,0.4,-1.12,-0.37,0.44,-1,-1.09,-1.16,-0.18,-0.4,0.04,0.48,0.12,-0.7
1966,1,-1.27,-0.58,0.27,-0.78,1.18,1.09,-0.81,-1.1,0.07,0.01,-0.8,-0.56,-0.63
1966,2,-0.98,0.21,-0.9,1.1,-0.01,-0.19,-0.08,0.04,-1.11,0.2,0.69,-0.3,0
1966,3,-0.6,-0.19,0.4,-1.05,-1.09,-0.12,-0.58,-0.76,-0.19,-0.01,-0.36,-0.24,-0.27
1966,4,-0.12,-0.19,-0.4,0.86,0.83,0.04,-0.32,-0.47,-0.95,-0.02,0.58,-0.25,-0.25
1967,1,-1.31,-0.74,0.82,0.56,-0.38,-0.38,-0.29,-0.35,0,0.35,-0.07,-0.2,-0.55
1967,2,-0.21,-1.28,-0.81,-1.02,-1.56,-1.18,-1.25,-1.37,2.34,1.65,0.32,0.88,-0.45
